Year,European Union,East Asia & Pacific,Middle East & North Africa,North America,South Asia,Latin America & Caribbean
2002,9.541742345,4.219847064,12.16596752,5.973513082,5.188118307,9.083827829
2003,9.647262971,4.476749469,11.8794631,6.154587296,5.208511582,8.921246216
2004,9.882398685,4.413075236,10.73324602,5.703679304,5.1638337,8.383785418
2005,9.570432713,4.43652718,10.949157,5.255129545,5.093557465,7.921447758
2006,8.625861988,4.304650552,10.07469579,4.79720665,4.903180035,7.256014467
2007,7.448928643,4.246192596,9.55922133,4.769584517,4.811123361,6.86315763
2008,7.20456355,4.364740119,9.197684056,5.818084728,4.787584012,6.490773399
2009,9.124110697,4.43597753,9.354669317,9.153156134,5.063924707,7.485787984
2010,9.800563319,4.198877173,9.498380282,9.461070717,4.931766791,6.94636838
2011,9.838689372,4.091287034,10.00146548,8.794088324,4.963764868,6.474950493
2012,10.808461,4.065747004,10.19035732,7.985607186,5.085329325,6.392243707
2013,11.32879871,4.037952591,9.834299983,7.346131113,5.261257162,6.341959807
2014,10.84778763,4.006021361,9.951817659,6.250799766,5.092405822,6.167784805
2015,10.02450616,4.047187954,10.05505489,5.457870891,5.245459209,6.691088339
2016,9.121549371,3.952384216,10.11341288,5.102114671,5.220780883,7.805506814
2017,8.140143189,3.830102934,10.23865123,4.576424366,5.155036344,8.083543187
2018,7.267544741,3.73533665,9.812974314,4.111269896,5.102109757,7.956345209
2019,6.6980312,3.858253984,9.596827105,3.889491858,5.036482592,7.986166722
2020,7.374928179,4.338749126,10.63437861,8.438946867,6.625076417,10.28013515
